Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Manhattan,Roosevelt Island,40.76215961,-73.94916769,4,Coffee Shop,Sandwich Place,Park,Japanese Restaurant,Kosher Restaurant,Greek Restaurant,Baseball Field,Gym,Outdoors & Recreation,Dog Run
Manhattan,Upper West Side,40.787658,-73.97705924,3,Italian Restaurant,Bar,Bakery,Vegetarian / Vegan Restaurant,Indian Restaurant,Coffee Shop,Cosmetics Shop,Wine Bar,Mexican Restaurant,Sushi Restaurant
Manhattan,Lincoln Square,40.77352889,-73.98533777,4,Theater,Gym / Fitness Center,Concert Hall,Plaza,Italian Restaurant,French Restaurant,Café,Opera House,Indie Movie Theater,Park
Manhattan,Clinton,40.75910089,-73.99611936,2,Theater,Italian Restaurant,Coffee Shop,American Restaurant,Gym / Fitness Center,Hotel,Wine Shop,Spa,Gym,Indie Theater
Manhattan,Midtown,40.7546911,-73.98166883,4,Hotel,Theater,Coffee Shop,Steakhouse,Food Truck,Cocktail Bar,Clothing Store,Spa,Bookstore,Sporting Goods Shop
Manhattan,Murray Hill,40.74830308,-73.97833208,3,Sandwich Place,Hotel,Japanese Restaurant,Gym / Fitness Center,Coffee Shop,Salon / Barbershop,Burger Joint,French Restaurant,Bar,Italian Restaurant
Manhattan,Chelsea,40.74403471,-74.00311633,3,Coffee Shop,Italian Restaurant,Ice Cream Shop,Bakery,Nightclub,Theater,Art Gallery,Seafood Restaurant,American Restaurant,Hotel
Manhattan,Greenwich Village,40.72693289,-73.99991403,3,Italian Restaurant,Sushi Restaurant,French Restaurant,Clothing Store,Chinese Restaurant,Café,Indian Restaurant,Bakery,Seafood Restaurant,Electronics Store
Manhattan,East Village,40.72784678,-73.98222617,4,Ice Cream Shop,Bar,Wine Bar,Mexican Restaurant,Cocktail Bar,Pizza Place,Coffee Shop,Chinese Restaurant,Speakeasy,Vegetarian / Vegan Restaurant
Manhattan,Lower East Side,40.71780675,-73.98089032,4,Chinese Restaurant,Coffee Shop,Café,Bakery,Latin American Restaurant,Park,Cocktail Bar,Japanese Restaurant,Pizza Place,Ramen Restaurant
Manhattan,Tribeca,40.72152197,-74.01068329,4,American Restaurant,Italian Restaurant,Park,Spa,Café,Boutique,Wine Bar,Coffee Shop,Greek Restaurant,Gym
Manhattan,Little Italy,40.71932379,-73.99730467,4,Bakery,Café,Yoga Studio,Cocktail Bar,Sandwich Place,Salon / Barbershop,Pizza Place,Ice Cream Shop,Seafood Restaurant,Chinese Restaurant
Manhattan,Soho,40.72218384,-74.00065667,2,Clothing Store,Boutique,Women's Store,Shoe Store,Men's Store,Furniture / Home Store,Italian Restaurant,Mediterranean Restaurant,Art Gallery,Design Studio
Manhattan,West Village,40.73443394,-74.00617998,1,Italian Restaurant,Cosmetics Shop,New American Restaurant,Wine Bar,Gastropub,Jazz Club,Park,Bakery,American Restaurant,French Restaurant
Manhattan,Manhattan Valley,40.79730704,-73.96428618,4,Coffee Shop,Bar,Pizza Place,Chinese Restaurant,Indian Restaurant,Italian Restaurant,Thai Restaurant,Deli / Bodega,Mexican Restaurant,Yoga Studio
Manhattan,Morningside Heights,40.80799974,-73.96389628,2,Coffee Shop,American Restaurant,Park,Bookstore,Pizza Place,Sandwich Place,Burger Joint,Café,Deli / Bodega,Tennis Court
Manhattan,Gramercy,40.73720983,-73.98137595,3,Italian Restaurant,Restaurant,Thrift / Vintage Store,Cocktail Bar,Bagel Shop,Coffee Shop,Pizza Place,Mexican Restaurant,Grocery Store,Wine Shop
Manhattan,Battery Park City,40.71193198,-74.01686931,4,Coffee Shop,Park,Hotel,Wine Shop,Italian Restaurant,Women's Store,Gym,Burger Joint,Market,Plaza
Manhattan,Financial District,40.70710711,-74.01066545,3,Coffee Shop,Hotel,Gym,Wine Shop,Steakhouse,Bar,Italian Restaurant,Pizza Place,Park,Gym / Fitness Center
Manhattan,Carnegie Hill,40.78268257,-73.95325647,4,Pizza Place,Coffee Shop,Cosmetics Shop,Café,Yoga Studio,Spa,Bar,Bookstore,French Restaurant,Gym
Manhattan,Noho,40.72325902,-73.98843368,3,Italian Restaurant,French Restaurant,Cocktail Bar,Gift Shop,Bookstore,Grocery Store,Mexican Restaurant,Hotel,Sushi Restaurant,Coffee Shop
Manhattan,Civic Center,40.71522892,-74.0054153,3,Gym / Fitness Center,Bakery,Italian Restaurant,Cocktail Bar,French Restaurant,Sandwich Place,Coffee Shop,Gym,Yoga Studio,Park
Manhattan,Midtown South,40.74850966,-73.98871313,4,Korean Restaurant,Coffee Shop,Cosmetics Shop,Hotel Bar,Japanese Restaurant,Gym / Fitness Center,Bakery,Cocktail Bar,Italian Restaurant,Hotel
Manhattan,Sutton Place,40.76028033,-73.96355614,2,Gym / Fitness Center,Italian Restaurant,Furniture / Home Store,Indian Restaurant,Dessert Shop,American Restaurant,Bakery,Juice Bar,Boutique,Sushi Restaurant
Manhattan,Turtle Bay,40.75204237,-73.96770825,3,Italian Restaurant,Coffee Shop,Steakhouse,Wine Bar,Sushi Restaurant,Hotel,Noodle House,Indian Restaurant,Japanese Restaurant,French Restaurant
Manhattan,Tudor City,40.74691741,-73.97121929,3,Café,Park,Pizza Place,Mexican Restaurant,Greek Restaurant,Sushi Restaurant,Hotel,Deli / Bodega,Diner,Dog Run
Manhattan,Stuyvesant Town,40.73099955,-73.9740517,4,Bar,Park,Boat or Ferry,Basketball Court,Coffee Shop,Baseball Field,Gas Station,Beer Garden,Harbor / Marina,Playground
Manhattan,Flatiron,40.73967305,-73.99094711,3,Italian Restaurant,American Restaurant,Gym,Gym / Fitness Center,Yoga Studio,Vegetarian / Vegan Restaurant,Bakery,Clothing Store,Cosmetics Shop,Cycle Studio
Manhattan,Hudson Yards,40.75665808,-74.00011136,2,Coffee Shop,Italian Restaurant,Hotel,Theater,,,,,,
